train/epoch,train/Log Prob,train/KL,train/loss,debug/MSE improvement over random Mean,debug/MSE improvement over random Std,debug/MSE improvement over random Max,debug/MSE improvement over random Min,debug/MSE of random decoding Mean,debug/MSE of random decoding Std,debug/MSE of random decoding Max,debug/MSE of random decoding Min,debug/MSE of reconstruction,test/Log Prob,test/KL,test/loss,beta
0,-14288.057568359374,39.18491051673889,14291.118916015625,0.016820695,0.0015802248,0.018563291,0.013202421,0.030806022,0.069649085,0.30928946,0.0,0.0139853265,-13971.10693359375,68.4499610900879,13976.4544921875,0.078125
1,-13905.42705078125,71.2870429611206,13910.99634765625,0.009117875,0.0013989205,0.010517319,0.0043056253,0.01619373,0.052111026,0.37032223,0.0,0.0070758546,-13822.08359375,69.46409301757812,13827.51044921875,0.078125
2,-13804.26408203125,47.98830513000488,13808.013115234375,0.0018160646,0.0015114546,0.0052625677,-9.6214004e-05,0.017186573,0.044169083,0.76172686,0.0,0.015370504,-13707.11513671875,28.261315727233885,13709.32294921875,0.078125
3,-13693.813447265626,39.03942665100098,13696.863466796874,0.01483342,0.0022725633,0.01724772,0.0054200543,0.020202316,0.08783009,0.98093814,8.881784e-16,0.005368894,-13579.33642578125,36.34322967529297,13582.17568359375,0.078125
4,-13611.8198046875,46.09613441467285,13615.421103515626,0.021246357,0.0030020322,0.023266558,0.006579822,0.025558203,0.101863846,0.9962477,0.0,0.0043118456,-13535.8724609375,34.5860237121582,13538.57451171875,0.078125
5,-13565.789853515626,49.28459888458252,13569.640263671876,0.020079365,0.003093656,0.024847727,0.011310713,0.025022166,0.10144221,0.99880123,8.881784e-16,0.0049428022,-13497.86357421875,34.286822128295896,13500.5421875,0.078125
6,-13543.707294921875,49.91462734222412,13547.606904296876,0.01117512,0.005393492,0.026100589,0.00025943434,0.016194327,0.07810661,0.9958117,0.0,0.0050192126,-13493.285546875,35.182721328735354,13496.0341796875,0.078125
7,-13531.557529296875,49.917562065124514,13535.45734375,0.025988879,0.0032801847,0.031919323,0.015277758,0.029267393,0.11234041,0.99943155,0.0,0.003278514,-13476.219140625,33.29982929229736,13478.82060546875,0.078125
8,-13517.242607421875,49.76456596374512,13521.130458984375,0.026546277,0.004663643,0.037095383,0.014749571,0.030435834,0.113536164,0.9997277,8.881784e-16,0.0038895744,-13484.97265625,33.95879764556885,13487.62568359375,0.078125
9,-13509.494228515625,47.193526153564456,13513.181220703125,0.018938985,0.0053180996,0.031968758,0.009301383,0.024367845,0.07470938,0.9955968,0.0,0.0054288614,-13459.05888671875,33.12574920654297,13461.64677734375,0.078125
