train/epoch,train/Log Prob,train/KL,train/loss,debug/MSE improvement over random Mean,debug/MSE improvement over random Std,debug/MSE improvement over random Max,debug/MSE improvement over random Min,debug/MSE of random decoding Mean,debug/MSE of random decoding Std,debug/MSE of random decoding Max,debug/MSE of random decoding Min,debug/MSE of reconstruction,test/Log Prob,test/KL,test/loss,beta
0,-3747.7320556640625,291.12451335906985,3770.476149902344,0.083711,0.013274439,0.09792292,0.055027526,0.115414344,0.09029638,0.36177474,4.2987836e-13,0.03170335,-3236.234765625,170.17018432617186,3249.529345703125,0.078125
1,-3209.680849609375,118.57308479309081,3218.9443701171876,0.075046584,0.019891538,0.09714748,0.03060921,0.111494794,0.09856785,0.34720212,1.5667467e-12,0.036448214,-3180.0634765625,87.080029296875,3186.8666015625,0.078125
2,-3064.4367236328126,124.15732513427734,3074.1365234375,0.09897473,0.022693519,0.1212484,0.05206012,0.120286666,0.11488743,0.673598,6.004086e-13,0.02131196,-2944.936767578125,146.90204467773438,2956.4135009765623,0.078125
3,-2926.5210375976562,127.43556686401367,2936.476936035156,0.110357895,0.020615665,0.13614187,0.06346678,0.12660582,0.13291791,0.93171346,2.877698e-13,0.016247906,-2868.5371337890624,118.25034255981446,2877.7754150390624,0.078125
4,-2846.3558056640627,119.31124389648437,2855.677004394531,0.09311022,0.020139456,0.1287977,0.03248632,0.122433364,0.14293723,0.9797851,1.03278275e-10,0.029323125,-2769.005322265625,120.86572799682617,2778.44794921875,0.078125
5,-2706.426252441406,152.10482162475586,2718.30943359375,0.120912,0.02532516,0.16259408,0.060600143,0.13185138,0.17144978,0.997659,6.8780537e-12,0.010939355,-2655.09140625,151.56948547363282,2666.9327880859373,0.078125
6,-2624.4479345703126,167.0274073791504,2637.496953125,0.10310353,0.028919846,0.15322697,0.041033246,0.12034741,0.1667072,0.99955624,1.7985613e-12,0.017243857,-2614.8951171875,139.51591796875,2625.794775390625,0.078125
7,-2574.974421386719,157.1686590576172,2587.25322265625,0.1347391,0.021551324,0.17355874,0.082997784,0.1443475,0.19202268,0.9998269,0.0,0.009608425,-2573.4940185546875,137.7870620727539,2584.2586181640627,0.078125
8,-2547.4544262695313,144.24092147827147,2558.723251953125,0.115418375,0.025842577,0.14901738,0.05437898,0.11999846,0.17267527,0.9997773,0.0,0.0045800977,-2555.3881591796876,125.56030731201172,2565.1975830078127,0.078125
9,-2535.07412109375,131.44792541503907,2545.3434912109374,0.13163924,0.033424266,0.18464868,0.059845187,0.13887094,0.210408,0.9999902,0.0,0.007231697,-2547.21015625,117.4746337890625,2556.387841796875,0.078125
10,-2526.0886889648436,122.41440643310547,2535.652314453125,0.1160316,0.029908875,0.17851591,0.05436185,0.12129385,0.19650817,0.9999995,0.0,0.005262291,-2538.8462646484377,111.36093368530274,2547.546337890625,0.078125
11,-2518.8283618164064,116.22247024536132,2527.9082446289062,0.12926365,0.02696307,0.17550384,0.07764994,0.13570017,0.20598006,0.99999595,0.0,0.006436526,-2535.104736328125,103.81578369140625,2543.2153564453124,0.078125
12,-2514.5547265625,111.37969741821288,2523.256279296875,0.10633214,0.027978634,0.15432791,0.054726914,0.112027675,0.18558398,0.99999714,0.0,0.005695522,-2529.46455078125,100.64678955078125,2537.3276123046876,0.078125
13,-2511.056455078125,106.20162979125976,2519.3534619140623,0.10701873,0.02878451,0.1689216,0.044997457,0.11071426,0.1861933,1.0,0.0,0.0036955357,-2525.3035888671875,98.19587326049805,2532.9751708984377,0.078125
14,-2507.181630859375,103.43862075805664,2515.2627734375,0.10492033,0.03337372,0.17072238,0.029284783,0.111325376,0.1986073,1.0,0.0,0.0064050676,-2524.0745361328127,92.73704147338867,2531.319580078125,0.078125
15,-2503.3474194335936,100.53600135803222,2511.2017993164063,0.12018337,0.031027514,0.1720442,0.044559553,0.12589991,0.20983307,1.0,0.0,0.005716549,-2515.596142578125,92.58899459838867,2522.8297119140625,0.078125
16,-2499.98318359375,97.43885597229004,2507.59560546875,0.09910971,0.021283036,0.14908454,0.047627375,0.104034245,0.19208094,1.0,0.0,0.004924535,-2517.35986328125,90.9432762145996,2524.464794921875,0.078125
17,-2499.420544433594,95.53080383300781,2506.883896484375,0.11268371,0.03547023,0.16932072,0.039473098,0.118484244,0.21246514,1.0,0.0,0.0058005117,-2514.1986572265623,88.010302734375,2521.0744873046874,0.078125
18,-2496.6872875976565,93.428267288208,2503.9863793945315,0.1076564,0.036779214,0.17888853,0.035663724,0.115758926,0.21571882,1.0,0.0,0.008102527,-2511.068994140625,85.07222900390624,2517.7152587890623,0.078125
19,-2494.3586743164065,91.89842147827149,2501.538220214844,0.12387185,0.024023177,0.17379782,0.06593372,0.12939829,0.21559642,1.0,0.0,0.0055264323,-2510.52021484375,84.43728713989258,2517.11689453125,0.078125
20,-2493.1889892578124,90.36091339111329,2500.248447265625,0.13021988,0.026090257,0.17443623,0.0720059,0.1359227,0.23091055,1.0,0.0,0.0057028346,-2508.174072265625,84.19445495605468,2514.7517578125,0.078125
21,-2490.8203271484376,89.29942520141601,2497.7968432617185,0.1001339,0.029077118,0.15933004,0.036622256,0.10368776,0.19251384,1.0,0.0,0.0035538715,-2509.33759765625,83.95208587646485,2515.8963623046875,0.078125
22,-2489.3535400390624,88.35371742248535,2496.256174316406,0.1116502,0.034213476,0.17525531,0.047044102,0.1179604,0.21890794,1.0,0.0,0.0063101794,-2505.288134765625,83.51171035766602,2511.8124755859376,0.078125
