train/epoch,train/Log Prob,train/KL,train/loss,debug/MSE improvement over random Mean,debug/MSE improvement over random Std,debug/MSE improvement over random Max,debug/MSE improvement over random Min,debug/MSE of random decoding Mean,debug/MSE of random decoding Std,debug/MSE of random decoding Max,debug/MSE of random decoding Min,debug/MSE of reconstruction,test/Log Prob,test/KL,test/loss,beta
0,-3764.138273925781,275.8671717453003,3785.690407714844,0.059076726,0.012838324,0.07101445,0.02367394,0.12027985,0.096730635,0.49138892,7.3550055e-12,0.061203126,-3199.1359375,207.43072662353515,3215.3414794921873,0.078125
1,-3175.7821606445314,154.50662536621093,3187.8530004882814,0.077777125,0.021103686,0.10062876,0.020477068,0.1136918,0.104685105,0.44399676,9.422685e-12,0.035914678,-3105.249560546875,135.38607330322264,3115.826611328125,0.078125
2,-2978.5554833984374,151.39546630859374,2990.3832421875,0.118324384,0.022695355,0.13814892,0.057115737,0.1381583,0.14419183,0.76088995,1.7195134e-12,0.019833941,-2939.206640625,115.68739624023438,2948.2447265625,0.078125
3,-2817.53611328125,144.05962783813476,2828.7907666015626,0.13784735,0.024588773,0.17311314,0.077046774,0.15104777,0.17375079,0.8769857,3.1974423e-12,0.013200397,-2768.7558837890624,124.06796417236328,2778.448681640625,0.078125
4,-2707.889196777344,147.54987014770506,2719.4165234375,0.13711172,0.032307044,0.18104649,0.07441773,0.14735109,0.19552955,0.8560336,2.046363e-12,0.01023937,-2692.296875,122.94776077270508,2701.902197265625,0.078125
5,-2655.019326171875,137.16840362548828,2665.7356103515626,0.18427593,0.033063382,0.21849133,0.097497046,0.19342326,0.24287161,0.9786673,0.0,0.00914734,-2656.645654296875,118.84615859985351,2665.9305419921875,0.078125
6,-2623.82419921875,125.46931549072265,2633.626484375,0.18276028,0.036461607,0.22887996,0.11054072,0.19047575,0.26425764,0.9997256,0.0,0.007715493,-2631.99912109375,110.63115310668945,2640.6421630859377,0.078125
7,-2597.5386767578125,119.25160346984863,2606.8552099609374,0.17923065,0.0407537,0.24332827,0.104881905,0.18744847,0.2746237,0.9998567,0.0,0.008217817,-2608.179052734375,103.49618453979492,2616.264697265625,0.078125
8,-2565.1499829101563,115.84174659729004,2574.2001171875,0.18223464,0.044211876,0.25472584,0.091796964,0.18984292,0.2924385,0.99035573,0.0,0.007608259,-2589.52021484375,101.96690368652344,2597.486376953125,0.078125
9,-2545.1394360351565,111.22714385986328,2553.829064941406,0.20584244,0.046449002,0.2675742,0.09398751,0.2113741,0.31051317,0.9955832,0.0,0.0055316216,-2575.9330078125,98.2429183959961,2583.608251953125,0.078125
10,-2531.0927099609376,110.11361618041992,2539.69533203125,0.22997136,0.045121744,0.29012144,0.13498981,0.23727486,0.32961988,0.99697423,0.0,0.0073035117,-2557.978466796875,98.45527038574218,2565.6703125,0.078125
