train/epoch,train/Log Prob,train/KL,train/loss,debug/MSE improvement over random Mean,debug/MSE improvement over random Std,debug/MSE improvement over random Max,debug/MSE improvement over random Min,debug/MSE of random decoding Mean,debug/MSE of random decoding Std,debug/MSE of random decoding Max,debug/MSE of random decoding Min,debug/MSE of reconstruction,test/Log Prob,test/KL,test/loss,beta
0,-14277.4447265625,22.500666475296022,14279.202568359375,0.0005746867,0.0003038521,0.0009229779,-1.4659017e-05,0.016307376,0.05185825,0.37991238,0.0,0.01573269,-14104.31640625,29.571047210693358,14106.62666015625,0.078125
1,-14009.88916015625,41.69275501251221,14013.146357421874,0.009095909,0.0013558347,0.0103741,0.0053671757,0.020628396,0.058000635,0.57752544,8.881784e-16,0.011532492,-14031.3833984375,83.79533920288085,14037.9298828125,0.078125
2,-13878.439853515625,69.1763256072998,13883.844248046875,0.010015903,0.002601942,0.012953834,0.0049359463,0.016708039,0.047627896,0.8647317,0.0,0.0066921366,-13823.35810546875,62.56396141052246,13828.24599609375,0.078125
3,-13790.88314453125,51.08583694458008,13794.8742578125,0.009536261,0.0031174733,0.016124414,0.00514099,0.018554723,0.056355163,0.9528008,0.0,0.00901846,-13820.34365234375,38.37096748352051,13823.34150390625,0.078125
4,-13754.3908203125,36.03574155807495,13757.206103515626,0.009740565,0.0030425764,0.014776114,0.005152515,0.017555406,0.068965346,0.99089307,3.5527137e-15,0.007814843,-13786.0984375,29.58368034362793,13788.409765625,0.078125
5,-13703.76501953125,30.780201568603516,13706.169736328126,0.0070967786,0.0046915542,0.016828809,-0.00015201885,0.022003757,0.09635327,0.99944896,0.0,0.014906981,-13736.58984375,23.06848888397217,13738.3919921875,0.078125
6,-13653.534306640626,27.159661445617676,13655.656142578126,0.002084086,0.0019475912,0.007877907,-0.00012487872,0.009106819,0.042355757,0.98439616,0.0,0.0070227324,-13681.6830078125,27.570328330993654,13683.8369140625,0.078125
7,-13579.16294921875,33.5635053062439,13581.785107421874,0.012513846,0.0036007036,0.0220032,0.007072227,0.019312838,0.07498784,0.9921282,0.0,0.00679899,-13657.1595703125,24.162754821777344,13659.04736328125,0.078125
8,-13542.159306640626,34.386467609405514,13544.845732421874,0.0046054423,0.003490666,0.013575496,0.00012791436,0.0103177,0.049737185,0.9964236,0.0,0.0057122563,-13596.737109375,27.393377685546874,13598.8771484375,0.078125
9,-13517.495693359375,35.96203712463379,13520.30521484375,0.016049258,0.006200148,0.026923088,0.0027643633,0.022660825,0.103178784,0.9999869,0.0,0.0066115684,-13544.066015625,30.78444423675537,13546.47099609375,0.078125
10,-13502.825361328125,35.485099201202395,13505.597646484375,0.010254158,0.0029985441,0.018429007,0.006335684,0.015431144,0.08088504,0.9999962,0.0,0.0051769866,-13519.02880859375,32.87476444244385,13521.5970703125,0.078125
11,-13489.396982421875,36.445675659179685,13492.244287109375,0.018625544,0.0050791227,0.031257823,0.005764231,0.022525245,0.10631096,1.0,8.881784e-16,0.0038997105,-13519.08046875,30.728334617614745,13521.48125,0.078125
12,-13478.28123046875,36.727492027282715,13481.150537109375,0.00835361,0.004388442,0.020045923,0.002902978,0.01224435,0.07674855,0.9999981,0.0,0.0038907398,-13516.90556640625,31.18509159088135,13519.34189453125,0.078125
13,-13465.963544921875,37.153451423645016,13468.866181640626,0.014946934,0.0020059934,0.022328801,0.012078782,0.021913158,0.07865812,0.9978574,0.0,0.0069662267,-13511.26259765625,30.767617988586426,13513.66650390625,0.078125
14,-13465.60615234375,36.44357553482055,13468.453330078126,0.018646799,0.0051924367,0.028601734,0.008549843,0.022845218,0.10654073,1.0,0.0,0.004198423,-13509.175,32.99721565246582,13511.7529296875,0.078125
15,-13453.115771484376,37.42980571746826,13456.039951171875,0.015440932,0.0034282068,0.021500317,0.0074622515,0.018270057,0.086706825,0.9999094,0.0,0.0028291265,-13494.27451171875,32.4363317489624,13496.80869140625,0.078125
16,-13445.232998046875,37.63530628204346,13448.173291015624,0.011371106,0.0024640204,0.018588858,0.0062277704,0.016969934,0.0698248,0.99955744,0.0,0.005598827,-13501.2169921875,30.52815799713135,13503.601953125,0.078125
17,-13444.14134765625,38.09652618408203,13447.11763671875,0.013813775,0.003063403,0.022979932,0.00949468,0.017575303,0.08970358,1.0,0.0,0.0037615288,-13512.78212890625,29.37670726776123,13515.0771484375,0.078125
18,-13439.944111328125,38.223879966735836,13442.93029296875,0.014160042,0.003629871,0.025679665,0.010428008,0.020467909,0.0972572,1.0,0.0,0.0063078753,-13500.20009765625,32.355272102355954,13502.727734375,0.078125
19,-13433.386357421876,38.770901412963866,13436.41533203125,0.022825342,0.0057058227,0.03698384,0.01161569,0.027199974,0.11203332,1.0,8.881784e-16,0.004374636,-13485.0923828125,31.427113151550294,13487.54775390625,0.078125
20,-13429.036650390624,38.502462768554686,13432.044658203125,0.01678577,0.0037451778,0.025055792,0.008626322,0.02025375,0.09368748,0.9999831,0.0,0.003467978,-13475.866796875,34.301438903808595,13478.5466796875,0.078125
21,-13426.9026953125,38.33125602722168,13429.897333984374,0.016423397,0.0037457466,0.02471501,0.008269573,0.019276341,0.090562776,0.9999863,0.0,0.0028529451,-13539.48798828125,28.723879241943358,13541.7322265625,0.078125
22,-13423.91634765625,38.08453712463379,13426.89171875,0.015276765,0.002247421,0.022866793,0.007940046,0.018478572,0.078895755,0.99997663,0.0,0.0032018058,-13474.1724609375,30.282768630981444,13476.53828125,0.078125
23,-13419.555849609374,37.83019840240478,13422.511396484375,0.014778845,0.0019671686,0.020217445,0.008844692,0.018691223,0.07736192,0.99999857,0.0,0.0039123823,-13497.839453125,34.88849449157715,13500.56494140625,0.078125
24,-13421.791318359376,37.778815002441405,13424.7427734375,0.0064300005,0.0021717376,0.0134203425,0.0022495557,0.009842353,0.057620496,0.99999976,0.0,0.003412352,-13474.18388671875,33.266014099121094,13476.7828125,0.078125
25,-13419.117138671874,37.37006855010986,13422.03666015625,0.01643917,0.0023479837,0.023609195,0.011410021,0.019519733,0.07932356,0.9999716,0.0,0.0030805639,-13492.339453125,33.818624877929686,13494.981640625,0.078125
26,-13416.0032421875,37.63787910461426,13418.943671875,0.006433632,0.004376102,0.017069217,-0.00111174,0.010991771,0.06640166,0.99998987,0.0,0.0045581395,-13577.865234375,26.86074924468994,13579.96376953125,0.078125
27,-13418.16322265625,37.078007526397705,13421.0599609375,0.021134831,0.0050379885,0.03198998,0.012851331,0.02273743,0.10723894,1.0,0.0,0.0016026017,-13477.6439453125,31.43287181854248,13480.09970703125,0.078125
28,-13410.00798828125,37.615676956176756,13412.94673828125,0.008397831,0.004353365,0.0169175,0.0004919239,0.012261668,0.073134236,0.9999956,0.0,0.0038638392,-13470.25244140625,34.59110507965088,13472.9548828125,0.078125
29,-13412.590029296874,36.94610145568848,13415.47638671875,0.024109308,0.005337541,0.033900343,0.013738204,0.02585735,0.11245439,1.0,0.0,0.0017480472,-13469.85419921875,31.242242431640626,13472.29501953125,0.078125
30,-13408.901904296876,36.76866680145264,13411.774453125,0.014464481,0.0044053853,0.027028216,0.010669514,0.016580947,0.09403934,1.0,0.0,0.002116461,-13476.1259765625,31.633477210998535,13478.59736328125,0.078125
31,-13404.619423828124,36.82393430709839,13407.49630859375,0.016570523,0.004941975,0.028258974,0.0059165647,0.018168816,0.098786466,1.0,0.0,0.0015982913,-13468.63818359375,30.469504356384277,13471.01865234375,0.078125
32,-13401.194521484374,36.62233882904053,13404.055615234374,0.007973783,0.0022734015,0.013551582,0.00132319,0.01296439,0.059490673,0.9999995,0.0,0.0049906033,-13461.64404296875,34.4938606262207,13464.33876953125,0.078125
33,-13402.438984375,35.98808446884155,13405.25060546875,0.015935015,0.004336899,0.022186717,0.0050193835,0.018831436,0.08820979,0.9999989,0.0,0.0028964153,-13462.029296875,32.445891571044925,13464.5640625,0.078125
34,-13400.146259765625,36.50732896804809,13402.998369140625,0.022913437,0.0039163977,0.03479609,0.01754108,0.02688133,0.08920677,0.99999046,0.0,0.003967892,-13489.99384765625,27.70011043548584,13492.1578125,0.078125
35,-13401.495458984375,36.045197334289554,13404.311494140626,0.01706767,0.0035144151,0.023422979,0.007075672,0.02045728,0.09568252,0.9999988,0.0,0.0033896056,-13507.1955078125,28.91275405883789,13509.4541015625,0.078125
36,-13397.48970703125,35.717515029907226,13400.280185546875,0.014269188,0.0029897904,0.023850981,0.008740471,0.017687906,0.09097013,1.0,0.0,0.0034187185,-13460.55283203125,31.56864242553711,13463.01904296875,0.078125
37,-13400.96923828125,35.560366535186766,13403.747431640624,0.011809966,0.005470619,0.02492721,0.00046432437,0.014566014,0.07762349,0.99999976,0.0,0.002756047,-13454.81083984375,32.58606128692627,13457.35654296875,0.078125
38,-13396.658271484375,35.67706884384155,13399.4455078125,0.013488317,0.0029687735,0.020422583,0.008078576,0.017120358,0.077019155,0.99999833,0.0,0.003632041,-13480.0458984375,30.22490177154541,13482.4072265625,0.078125
39,-13394.466435546876,35.32961101531983,13397.226572265625,0.021683019,0.005652355,0.03042124,0.010802709,0.023163619,0.10975956,1.0,0.0,0.0014805967,-13452.74921875,31.211468124389647,13455.18759765625,0.078125
40,-13392.868017578125,35.21988901138306,13395.619609375,0.014591949,0.0039477698,0.024989147,0.008916547,0.017722765,0.09218795,1.0,0.0,0.003130812,-13462.66005859375,29.618175506591797,13464.97392578125,0.078125
41,-13396.576611328124,34.870543994903564,13399.300859375,0.006344448,0.0028046425,0.013053197,0.0003917308,0.009914697,0.04986504,0.99999976,0.0,0.0035702495,-13451.68955078125,31.78623218536377,13454.1728515625,0.078125
42,-13391.26263671875,35.10873077392578,13394.005498046876,0.012792133,0.0045551457,0.021549683,0.0027168156,0.017654149,0.0829092,0.99999976,0.0,0.004862013,-13473.581640625,29.831845855712892,13475.91220703125,0.078125
43,-13391.34216796875,34.84783456802368,13394.06462890625,0.013382657,0.0032921121,0.02011127,0.007716494,0.017397812,0.07378387,0.99999535,0.0,0.00401515,-13452.41611328125,31.200873374938965,13454.8537109375,0.078125
44,-13389.18798828125,34.65069633483887,13391.895068359376,0.0049546165,0.003502394,0.013643021,-0.00016825064,0.008236854,0.053355865,0.99999833,0.0,0.0032822378,-13472.54638671875,28.743605422973634,13474.7919921875,0.078125
45,-13386.777041015624,35.0567692565918,13389.51587890625,0.023482163,0.005762723,0.03487657,0.013297006,0.025145244,0.11340274,1.0,0.0,0.0016630844,-13456.641015625,30.96537342071533,13459.06025390625,0.078125
46,-13390.024169921875,34.43749382019043,13392.714638671874,0.014719556,0.0019322975,0.01953632,0.011036283,0.019300189,0.08005923,0.99999976,0.0,0.0045806337,-13449.96728515625,30.125223541259764,13452.3208984375,0.078125
47,-13383.378720703126,34.99784654617309,13386.112939453125,0.011447856,0.0051932093,0.020348595,0.0008640024,0.014727801,0.07567048,0.99999976,0.0,0.003279943,-13445.46123046875,31.248304557800292,13447.90263671875,0.078125
48,-13382.675849609375,34.50741203308105,13385.371767578124,0.006796088,0.0037742816,0.015468989,0.00053630606,0.010018294,0.06222596,0.99999964,0.0,0.0032222024,-13457.53154296875,30.887876319885255,13459.9447265625,0.078125
49,-13380.35955078125,34.655177688598634,13383.066982421875,0.0129677355,0.0053591137,0.021379316,0.0016913228,0.016824996,0.08061497,1.0,0.0,0.0038572624,-13455.08837890625,34.14972286224365,13457.75634765625,0.078125
50,-13377.677216796876,34.71631637573242,13380.389423828125,0.004536487,0.0032710244,0.012701751,-0.00013466319,0.009393847,0.05357585,1.0,0.0,0.004857364,-13499.57744140625,28.531610679626464,13501.8064453125,0.078125
51,-13379.676953125,34.20966772079468,13382.34962890625,0.014575821,0.0032162762,0.026377834,0.009938059,0.017531568,0.08756414,1.0,0.0,0.0029557515,-13438.7662109375,30.384420013427736,13441.13994140625,0.078125
52,-13381.30890625,34.03164651870728,13383.967626953125,0.01833963,0.0031277677,0.023769958,0.009599292,0.021697741,0.097718656,1.0,0.0,0.0033581108,-13429.4232421875,32.039255905151364,13431.92626953125,0.078125
53,-13379.16109375,33.778164310455324,13381.8000390625,0.013968771,0.0047795544,0.022579312,0.0017156322,0.017553505,0.0822642,1.0,0.0,0.0035847314,-13434.890625,32.57616329193115,13437.435546875,0.078125
54,-13378.487783203125,34.07268711090088,13381.149716796876,0.0115268845,0.0053457115,0.021248175,0.00019464688,0.015677823,0.07775116,1.0,0.0,0.004150932,-13454.1798828125,34.456936073303225,13456.87177734375,0.078125
55,-13374.348720703125,33.98359014511109,13377.0037109375,0.021939417,0.0056876717,0.033150405,0.006563714,0.025088286,0.11081542,1.0,0.0,0.0031488726,-13442.29296875,33.73378486633301,13444.928515625,0.078125
56,-13373.84779296875,34.352632179260254,13376.531572265625,0.0048364596,0.0031454768,0.011563746,0.000762986,0.007808281,0.05072715,0.99999976,0.0,0.0029718203,-13436.25908203125,30.89000873565674,13438.67216796875,0.078125
57,-13375.741826171876,33.65970722198486,13378.371474609376,0.01579446,0.002331867,0.021541659,0.011645209,0.018724492,0.07874636,1.0,0.0,0.0029300298,-13430.6763671875,31.041863441467285,13433.10146484375,0.078125
58,-13375.9974609375,33.47321096420288,13378.612587890624,0.011463364,0.0050186194,0.022296973,0.0008447566,0.015238751,0.076177195,1.0,0.0,0.0037753875,-13454.70498046875,28.835365867614748,13456.9576171875,0.078125
59,-13374.167216796875,33.59977025985718,13376.7921484375,0.022997402,0.005059394,0.035765834,0.014513375,0.026146805,0.113482185,1.0,0.0,0.0031494028,-13436.0626953125,31.215888214111327,13438.5013671875,0.078125
60,-13371.30423828125,33.792874565124514,13373.944306640626,0.015009422,0.0050402544,0.024856107,0.0030664501,0.018634064,0.087158225,1.0,0.0,0.0036246472,-13440.5134765625,29.25126132965088,13442.798828125,0.078125
61,-13373.88091796875,32.91726613998413,13376.452607421876,0.011841664,0.0036716042,0.021594744,0.006242673,0.015277418,0.0890991,1.0,0.0,0.0034357614,-13434.8962890625,29.92939624786377,13437.2345703125,0.078125
62,-13374.3600390625,33.06943281173706,13376.94353515625,0.011496892,0.0038265353,0.02139105,0.006201574,0.015878066,0.08754981,1.0,0.0,0.004381169,-13438.101953125,30.953102111816406,13440.5201171875,0.078125
63,-13370.5430859375,33.38519342422485,13373.15130859375,0.0056707067,0.0031138666,0.0135093825,0.0008305535,0.010747359,0.055315062,1.0,0.0,0.0050766533,-13444.61875,30.758560943603516,13447.02177734375,0.078125
64,-13369.26103515625,33.20002666473388,13371.854775390624,0.019913374,0.0016703446,0.024005076,0.017615288,0.023742966,0.08044847,1.0,0.0,0.0038295903,-13442.66923828125,30.580592727661134,13445.05830078125,0.078125
65,-13366.6244140625,33.36614068984986,13369.231103515625,0.01079743,0.0014107435,0.015195493,0.0053080902,0.014790789,0.068010144,1.0,0.0,0.003993359,-13464.34716796875,29.63866138458252,13466.6625,0.078125
66,-13369.655556640624,32.86182037353515,13372.22294921875,0.01423359,0.0045047714,0.023115877,0.005032561,0.017891534,0.08383007,1.0,0.0,0.0036579473,-13428.82451171875,30.955544662475585,13431.24287109375,0.078125
67,-13367.92322265625,32.76795063018799,13370.4832421875,0.011601305,0.0026760506,0.021692332,0.0077501023,0.0152592305,0.08631586,1.0,0.0,0.003657925,-13470.31171875,29.989594078063966,13472.65478515625,0.078125
68,-13361.603740234375,33.262234935760496,13364.202373046875,0.009668639,0.0014633423,0.0151428785,0.005430175,0.013728288,0.06972906,1.0,0.0,0.0040596444,-13435.59521484375,29.355206871032713,13437.88876953125,0.078125
69,-13369.513193359375,32.432436866760256,13372.04703125,0.020453533,0.004724036,0.028920012,0.010816145,0.02364506,0.10926342,1.0,0.0,0.003191525,-13429.33720703125,29.967201042175294,13431.67822265625,0.078125
70,-13368.87302734375,32.444725799560544,13371.407744140624,0.004804871,0.0032114235,0.014722984,-0.00019257213,0.008620882,0.05416346,1.0,0.0,0.003816012,-13440.2087890625,29.829448318481447,13442.53916015625,0.078125
71,-13369.599755859375,32.38482093811035,13372.12984375,0.008321255,0.0047953664,0.018993825,0.00017374381,0.012249501,0.067672916,1.0,0.0,0.003928245,-13418.01435546875,31.611383056640626,13420.483984375,0.078125
72,-13368.158544921875,32.2019931602478,13370.674306640625,0.01883963,0.0037203608,0.027405577,0.013409575,0.023300666,0.0841556,1.0,0.0,0.0044610407,-13432.4810546875,31.84940586090088,13434.9693359375,0.078125
73,-13363.4080078125,32.59228162765503,13365.954306640626,0.011909299,0.0014961038,0.016455777,0.009351391,0.014702341,0.07642244,1.0,0.0,0.0027930422,-13427.9658203125,30.47129020690918,13430.34638671875,0.078125
74,-13364.804501953126,32.31355337142944,13367.328935546875,0.004843888,0.0032585922,0.01424093,0.000655686,0.008890571,0.052560244,1.0,0.0,0.0040466846,-13427.249609375,30.429198837280275,13429.6267578125,0.078125
75,-13363.7059375,32.126266937255856,13366.215810546875,0.0087,0.004076266,0.019305507,0.0011584116,0.0116806915,0.07051189,1.0,0.0,0.0029806904,-13439.07861328125,29.268412780761718,13441.36513671875,0.078125
76,-13369.73302734375,31.452490615844727,13372.19029296875,0.020319352,0.004756038,0.032096397,0.012389228,0.025035141,0.112434186,1.0,0.0,0.0047157817,-13433.59658203125,30.111681938171387,13435.9490234375,0.078125
77,-13364.120458984375,31.783125247955322,13366.603544921874,0.012629736,0.0029427088,0.02230892,0.00669946,0.016051155,0.08830738,1.0,0.0,0.0034214188,-13437.07548828125,29.119657135009767,13439.3505859375,0.078125
78,-13363.337890625,31.485478744506835,13365.797646484374,0.0058214907,0.0028950805,0.012961473,-4.8184767e-05,0.009017318,0.051978882,1.0,0.0,0.0031958257,-13449.71181640625,29.635988426208495,13452.02724609375,0.078125
79,-13359.32384765625,31.928794193267823,13361.8183203125,0.019874908,0.003909459,0.027793765,0.015008574,0.02395614,0.08397159,1.0,0.0,0.0040812343,-13444.3025390625,28.68069362640381,13446.54326171875,0.078125
80,-13361.070556640625,31.446495056152344,13363.5273046875,0.015016893,0.004325145,0.022054523,0.006633872,0.018916093,0.088721,1.0,0.0,0.0038991866,-13442.60068359375,28.040812301635743,13444.79140625,0.078125
81,-13360.4661328125,31.458476238250732,13362.923837890625,0.0048111784,0.0035032763,0.012487469,-0.00011427165,0.0074559716,0.048928816,1.0,0.0,0.0026447927,-13431.55341796875,28.74890766143799,13433.79951171875,0.078125
82,-13358.179208984375,31.561191577911377,13360.6449609375,0.010160525,0.0013408279,0.014461983,0.0064782086,0.014773342,0.07023097,1.0,0.0,0.004612815,-13478.51767578125,27.69927349090576,13480.681640625,0.078125
83,-13358.852275390625,31.592788372039795,13361.320478515625,0.016606672,0.0019562829,0.025254507,0.013371818,0.022512358,0.08335604,1.0,0.0,0.0059056883,-13448.70048828125,28.65886173248291,13450.93935546875,0.078125
84,-13353.145009765625,31.7213729095459,13355.623212890625,0.015190276,0.0026216626,0.020210661,0.0066121668,0.01888959,0.079657264,1.0,0.0,0.003699312,-13468.52734375,27.822387886047363,13470.70087890625,0.078125
85,-13355.90634765625,31.23632318496704,13358.34669921875,0.016259067,0.003212226,0.024079327,0.00956865,0.020261496,0.09331194,1.0,0.0,0.0040024393,-13432.37548828125,29.349205207824706,13434.66845703125,0.078125
86,-13353.09248046875,31.40869794845581,13355.546279296876,0.00481896,0.0021305103,0.011806233,-0.00046746386,0.009803972,0.055510275,1.0,0.0,0.0049850107,-13455.70546875,28.107472038269044,13457.90126953125,0.078125
87,-13354.331435546876,31.219060249328614,13356.770439453125,0.008583099,0.001799692,0.012979289,0.003379644,0.013015158,0.06597702,1.0,0.0,0.004432059,-13437.37587890625,28.206322479248048,13439.57939453125,0.078125
88,-13350.822734375,31.643328342437744,13353.29484375,0.009015555,0.0046060835,0.017328374,0.00022161915,0.011132434,0.06920865,1.0,0.0,0.0021168804,-13428.50654296875,29.840106391906737,13430.837890625,0.078125
89,-13356.182626953125,30.907638454437254,13358.59734375,0.006223686,0.0034747098,0.01698389,2.5997171e-05,0.008309752,0.051081438,1.0,0.0,0.002086066,-13419.1255859375,29.072635650634766,13421.396875,0.078125
90,-13353.56013671875,30.985201263427733,13355.980859375,0.005282204,0.0034486922,0.013797884,0.000697606,0.00863499,0.05210525,1.0,0.0,0.003352788,-13439.90693359375,29.124469375610353,13442.18232421875,0.078125
91,-13356.785849609376,30.48665174484253,13359.16759765625,0.00630141,0.0032343713,0.016074989,6.852485e-05,0.008415867,0.048778825,1.0,0.0,0.0021144538,-13423.56484375,28.205063247680663,13425.768359375,0.078125
92,-13352.3544921875,30.673151969909668,13354.750869140626,0.006689458,0.0035265153,0.015531553,0.00083740265,0.01010429,0.060051493,1.0,0.0,0.003414836,-13426.55302734375,30.281394004821777,13428.91865234375,0.078125
