train/epoch,train/loss,train/log_prob,train/kl,train/physics_temporal,train/physics_momentum,train/physics_contact,train/physics_total_physics,debug/MSE improvement over random Mean,debug/MSE improvement over random Std,debug/MSE improvement over random Max,debug/MSE improvement over random Min,debug/MSE of random decoding Mean,debug/MSE of random decoding Std,debug/MSE of random decoding Max,debug/MSE of random decoding Min,debug/MSE of reconstruction,test/Log Prob,test/KL,test/loss,beta
0,28532.45767578125,-14264.88537109375,17.18235061645508,0.008709456203505397,0.014691175918560475,1.0000718757510186e-05,0.023410632754676045,0.0011240906,0.0006997786,0.0019181287,3.8463622e-07,0.014256005,0.050381232,0.4452406,7.993606e-15,0.013131914,-14100.41904296875,20.2847261428833,14102.00380859375,0.078125
1,28110.84984375,-14053.8326953125,20.3573154258728,0.012122265826910734,0.020631547179073097,4.818731104023754e-05,0.03280200019478798,0.0058231074,0.0018371745,0.0087366095,0.0012378059,0.016249822,0.05278913,0.39620382,0.0,0.010426714,-14045.0326171875,24.151306343078613,14046.91953125,0.078125
2,27793.86203125,-13894.32169921875,33.37102769851685,0.016624251501634716,0.028510202784091235,0.00012169899884611368,0.04525615330785513,0.015742762,0.0031267814,0.019667845,0.007917482,0.024350287,0.06895376,0.9154718,0.0,0.008607522,-13892.13310546875,32.35506401062012,13894.66083984375,0.078125
3,27555.2356640625,-13775.3313671875,29.23935787200928,0.015865890784189107,0.027482467275112867,0.000100166080519557,0.04344852412119508,0.020180471,0.008789028,0.030213201,0.0033709588,0.025315672,0.08118437,0.9843512,0.0,0.005135196,-13805.1916015625,51.01573638916015,13809.17724609375,0.078125
4,27432.06994140625,-13713.77021484375,28.960684547424318,0.016617724020034075,0.028351173885166645,5.986638832837343e-05,0.04502876428887248,0.0065456606,0.004364617,0.012718565,-0.00020400202,0.014192931,0.053846616,0.8308647,0.0,0.007647273,-13770.5283203125,39.30362243652344,13773.598828125,0.078125
5,27318.233515625,-13656.863837890625,28.807103748321534,0.017490597898140548,0.030080641731619836,0.00014933520928025245,0.047720574643462896,0.0052553136,0.0032483884,0.010690458,-3.980752e-05,0.009872171,0.036689013,0.85050225,0.0,0.00461686,-13701.29306640625,65.68636550903321,13706.4248046875,0.078125
6,27177.574921875,-13586.42736328125,30.174291095733643,0.01946607744321227,0.03425674416124821,0.0001716388575732708,0.053894460387527945,0.013496418,0.0028575622,0.01680849,0.0035876706,0.018184334,0.06406171,0.9926059,0.0,0.0046879184,-13641.70390625,58.26410026550293,13646.25576171875,0.078125
7,27118.96173828125,-13556.448291015626,38.77318162918091,0.02518484349362552,0.04414959765970707,0.00018122369423508643,0.06951566465198994,0.012970041,0.0027959626,0.019594282,0.0026999218,0.023199009,0.084533855,0.99841195,0.0,0.0102289785,-13592.03232421875,59.43669090270996,13596.67587890625,0.078125
8,27065.33154296875,-13530.08599609375,32.98096391677856,0.022815867476165295,0.040549132507294416,0.00023673965130001308,0.06360173925757408,0.02824109,0.0049216878,0.035550214,0.016508697,0.03325336,0.11707774,0.9997513,0.0,0.0050122607,-13570.83408203125,43.28282775878906,13574.21552734375,0.078125
9,27032.3045703125,-13513.6898828125,31.48138469696045,0.020747341373935344,0.03737170584499836,0.00018805061001330613,0.05830709796398878,0.038025726,0.0026901613,0.042138018,0.027311873,0.043025065,0.14024672,0.9999416,0.0,0.0049993405,-13556.94658203125,54.02101364135742,13561.16689453125,0.078125
