train/epoch,train/Log Prob,train/KL,train/loss,debug/MSE improvement over random Mean,debug/MSE improvement over random Std,debug/MSE improvement over random Max,debug/MSE improvement over random Min,debug/MSE of random decoding Mean,debug/MSE of random decoding Std,debug/MSE of random decoding Max,debug/MSE of random decoding Min,debug/MSE of reconstruction,test/Log Prob,test/KL,test/loss,beta
0,-14293.122783203125,49.55953336715698,14296.9946484375,0.0018317217,0.00072710577,0.0025910428,7.676706e-05,0.014593923,0.05113666,0.412515,0.0,0.012762201,-14158.32607421875,34.9348087310791,14161.05546875,0.078125
1,-13943.12767578125,54.508543739318846,13947.386201171876,0.015684055,0.0019742174,0.017539185,0.009113846,0.024601888,0.06223742,0.46474925,0.0,0.008917838,-13960.10556640625,50.570952606201175,13964.05615234375,0.078125
2,-13734.00380859375,58.52144397735596,13738.575791015624,0.028021425,0.004781574,0.034280434,0.01632348,0.03769414,0.10341467,0.9578867,0.0,0.009672716,-13765.957421875,57.43047256469727,13770.44404296875,0.078125
3,-13599.62689453125,59.89033130645752,13604.305830078125,0.024465434,0.0057288837,0.032798875,0.009581735,0.028731227,0.099342115,0.98800987,0.0,0.0042657913,-13709.03505859375,47.20163764953613,13712.72265625,0.078125
4,-13562.848505859374,56.57895957946777,13567.268759765626,0.0054005166,0.0034055307,0.011836274,-0.00013429113,0.011336409,0.049691163,0.9973408,8.881784e-16,0.005935892,-13700.42958984375,44.16771621704102,13703.88017578125,0.078125
5,-13533.8715625,54.73136531829834,13538.14740234375,0.03041254,0.008281888,0.043506116,0.010800077,0.03525945,0.11417627,0.99827445,0.0,0.0048469137,-13669.7736328125,43.297193908691405,13673.15625,0.078125
6,-13514.64703125,54.0470809173584,13518.869423828124,0.023402017,0.009382098,0.038787566,0.0013272932,0.026939102,0.104088984,0.99784845,0.0,0.00353708,-13648.5880859375,43.99884948730469,13652.0255859375,0.078125
7,-13495.191572265625,54.15542552947998,13499.42248046875,0.0094736945,0.0069547063,0.027128763,0.0004933479,0.012926664,0.06493915,0.9970044,0.0,0.003452969,-13615.348828125,44.49833106994629,13618.8251953125,0.078125
8,-13474.05970703125,54.30037940979004,13478.301884765626,0.039740272,0.011506152,0.05715189,0.017828833,0.04434008,0.1310177,0.99939847,0.0,0.004599806,-13597.57802734375,44.9780387878418,13601.091796875,0.078125
9,-13458.363740234376,53.46190929412842,13462.540439453125,0.023516595,0.008961074,0.04142379,0.0057679387,0.028060341,0.10794261,0.9990729,0.0,0.0045437403,-13587.12734375,44.26848678588867,13590.58583984375,0.078125
10,-13441.236650390625,53.021721038818356,13445.378994140625,0.02731929,0.0053155264,0.038239002,0.014290191,0.03196592,0.11426086,0.99933505,0.0,0.0046466403,-13567.82470703125,45.1424446105957,13571.3515625,0.078125
11,-13435.030224609374,52.08325569152832,13439.0991796875,0.029251467,0.007091219,0.041142046,0.015836138,0.032701146,0.119744554,0.99955374,0.0,0.003449683,-13570.4341796875,44.578451538085936,13573.9169921875,0.078125
12,-13420.9441015625,52.583975830078124,13425.05224609375,0.029927082,0.0056632017,0.03928142,0.016429365,0.033657603,0.11411885,0.99973917,0.0,0.0037305264,-13561.75185546875,44.37119369506836,13565.21845703125,0.078125
13,-13416.890791015625,51.355951957702636,13420.902958984376,0.022216158,0.008640089,0.038355004,0.0015790099,0.025303654,0.1059688,0.99969363,0.0,0.0030874936,-13561.3662109375,43.359425735473636,13564.75361328125,0.078125
14,-13414.456162109374,51.29900608062744,13418.46392578125,0.027830407,0.0058628204,0.04033022,0.016130425,0.032354623,0.1072349,0.9999771,0.0,0.0045242114,-13558.87333984375,42.56431083679199,13562.19873046875,0.078125
15,-13413.307548828125,50.78447639465332,13417.275078125,0.020117138,0.0060828286,0.03386002,0.0051186285,0.023049444,0.10116773,0.9999356,0.0,0.0029323078,-13578.0341796875,40.99811935424805,13581.237109375,0.078125
16,-13403.843876953126,50.53366912841797,13407.791845703125,0.008383422,0.0064302054,0.02886827,0.00043485546,0.012784392,0.06441533,0.9999969,0.0,0.004400977,-13544.1294921875,43.73051795959473,13547.54599609375,0.078125
17,-13405.282666015624,49.7447399520874,13409.1689453125,0.026808431,0.0058134296,0.03860228,0.016164858,0.029821608,0.11064008,0.99989605,0.0,0.0030131796,-13540.82197265625,42.2796127319336,13544.125,0.078125
18,-13399.0758203125,49.75616275787353,13402.963017578126,0.019211601,0.0064247767,0.0334851,0.0032145826,0.021990154,0.097836815,0.9999616,0.0,0.0027785504,-13533.1958984375,42.13045539855957,13536.48720703125,0.078125
19,-13396.970556640625,49.418998374938965,13400.83140625,0.011411538,0.006875708,0.030536726,-1.9914005e-05,0.016123269,0.076399446,0.99999547,0.0,0.004711736,-13543.844921875,41.856985855102536,13547.11494140625,0.078125
20,-13392.05732421875,49.438308296203616,13395.91966796875,0.025817567,0.0055817175,0.038059328,0.0140987,0.028552352,0.108476214,0.99993646,0.0,0.002734779,-13526.47314453125,41.44236106872559,13529.7109375,0.078125
21,-13396.655595703125,48.77094493865967,13400.465810546875,0.021420348,0.006242156,0.03414673,0.007702696,0.024272999,0.10465488,0.9999558,0.0,0.0028526513,-13511.81875,43.31081352233887,13515.20224609375,0.078125
22,-13388.8101953125,48.973464813232425,13392.63625,0.015972292,0.00810891,0.029926062,0.00082019577,0.01991282,0.09586156,0.9999653,0.0,0.0039405264,-13527.54990234375,42.190063858032225,13530.84609375,0.078125
23,-13386.99017578125,48.23528621673584,13390.75853515625,0.016376894,0.0087315375,0.034691058,0.00091786426,0.01938188,0.09623287,0.9999714,0.0,0.0030049805,-13538.54716796875,39.994154357910155,13541.67177734375,0.078125
24,-13387.671640625,48.56698234558105,13391.465927734374,0.00957881,0.006031629,0.0269005,0.00021481072,0.012321309,0.07238207,0.99995196,0.0,0.0027425017,-13543.39931640625,40.40090217590332,13546.5556640625,0.078125
25,-13382.467734375,48.43487705230713,13386.25166015625,0.016529331,0.0073121786,0.032424144,0.000714225,0.01919535,0.09459374,0.99999285,0.0,0.002666016,-13535.36201171875,40.76618957519531,13538.546875,0.078125
26,-13378.867197265625,48.2047085571289,13382.633203125,0.026739951,0.005036373,0.037002306,0.017714951,0.030492842,0.10676357,0.9999912,0.0,0.0037528821,-13524.6208984375,40.38290596008301,13527.77568359375,0.078125
27,-13375.07599609375,48.14943000793457,13378.83763671875,0.020911498,0.0047730873,0.028717106,0.009234619,0.023766337,0.105839275,0.9999981,0.0,0.0028548406,-13530.3244140625,41.2463493347168,13533.54677734375,0.078125
28,-13375.66955078125,47.75687911987305,13379.400556640625,0.023276877,0.00406463,0.036036156,0.011893564,0.027140392,0.109496735,0.9999956,0.0,0.0038635067,-13529.9626953125,40.34975662231445,13533.11513671875,0.078125
29,-13377.094150390625,47.65648620605469,13380.817353515626,0.00845558,0.0044493387,0.01776498,0.001792935,0.011142637,0.064375415,1.0,0.0,0.0026870545,-13526.81064453125,41.92501029968262,13530.0861328125,0.078125
30,-13371.66689453125,47.817995948791506,13375.402626953124,0.021796055,0.0046855924,0.031615466,0.010401727,0.024181513,0.10470261,0.99999404,0.0,0.0023854533,-13513.4416015625,40.22871971130371,13516.58447265625,0.078125
31,-13370.0514453125,47.546732635498046,13373.765986328124,0.016714346,0.006929139,0.03149815,0.0016295013,0.019376375,0.09299604,0.99999297,0.0,0.0026620284,-13520.8921875,41.499264526367185,13524.134375,0.078125
32,-13369.3191796875,47.35468593597412,13373.018779296875,0.015698586,0.005657669,0.030155243,0.0047638193,0.018472267,0.08898058,0.999992,0.0,0.0027736786,-13531.2228515625,40.31911277770996,13534.3728515625,0.078125
33,-13370.96208984375,47.022863235473636,13374.63578125,0.026792552,0.0066668433,0.038422566,0.0114765605,0.0304809,0.10908977,0.9999988,0.0,0.0036883552,-13530.70126953125,39.40971412658691,13533.780078125,0.078125
34,-13361.938544921875,47.16280250549316,13365.623173828126,0.017635886,0.005532858,0.02781121,0.0057342453,0.021188615,0.095587865,0.9999963,0.0,0.0035527237,-13510.17158203125,40.49178810119629,13513.33505859375,0.078125
35,-13367.336025390625,46.79651405334473,13370.99203125,0.014619271,0.006759524,0.033296075,0.00018873741,0.017223382,0.09016345,0.9999993,0.0,0.002604119,-13512.51591796875,39.972877502441406,13515.6388671875,0.078125
36,-13368.792529296876,46.27211639404297,13372.407490234375,0.016124008,0.007682844,0.030686725,0.0014883219,0.018775739,0.092316784,0.99999976,0.0,0.0026517296,-13500.01796875,41.660668563842776,13503.27275390625,0.078125
37,-13366.68505859375,45.731260528564455,13370.2578515625,0.017433044,0.0068699643,0.029896623,0.00050529256,0.020056581,0.09396731,0.9999999,0.0,0.0026235413,-13518.75205078125,39.669779205322264,13521.85107421875,0.078125
38,-13360.15263671875,46.42683746337891,13363.779765625,0.021527838,0.006890989,0.03924671,0.005269668,0.025238276,0.10778172,1.0,0.0,0.0037104283,-13521.2333984375,39.2972297668457,13524.303515625,0.078125
39,-13364.297763671875,45.76237339019775,13367.87291015625,0.025716614,0.004833398,0.035692263,0.013308415,0.028247561,0.104270995,0.9999999,0.0,0.00253096,-13519.10234375,39.43592987060547,13522.183203125,0.078125
40,-13360.349580078126,45.60815189361572,13363.912724609376,0.021707263,0.0048434488,0.03155465,0.010541119,0.025396006,0.10347289,0.9999999,0.0,0.0036887405,-13512.8130859375,40.32584915161133,13515.9634765625,0.078125
41,-13360.14990234375,45.415927734375,13363.698056640626,0.021650597,0.004820519,0.029820982,0.010047892,0.025417818,0.102086306,0.99999964,0.0,0.0037672226,-13513.062109375,39.71087646484375,13516.16455078125,0.078125
42,-13360.32154296875,45.116548500061036,13363.8462890625,0.022518195,0.003649291,0.02993158,0.012272106,0.02610799,0.10514056,0.9999999,0.0,0.003589799,-13526.209765625,39.060176086425784,13529.26142578125,0.078125
43,-13360.195556640625,44.934762725830076,13363.706103515626,0.0073897117,0.004682255,0.02135238,0.00023224531,0.01133829,0.061716884,1.0,0.0,0.0039485777,-13525.74541015625,38.898545837402345,13528.78447265625,0.078125
44,-13353.3668359375,44.97696491241455,13356.880654296874,0.02367695,0.006159761,0.039426804,0.00915466,0.02659455,0.10380293,0.99999964,0.0,0.00291761,-13521.7435546875,39.088147735595705,13524.797265625,0.078125
45,-13361.39240234375,44.35751941680908,13364.857841796875,0.021746762,0.0073217712,0.043444138,0.009852894,0.025161197,0.099202685,0.9999995,0.0,0.0034144274,-13505.588671875,40.205491638183595,13508.72958984375,0.078125
46,-13358.403876953125,44.26540813446045,13361.86212890625,0.026069801,0.0066385954,0.039410513,0.011452367,0.029738503,0.108373754,1.0,0.0,0.0036687015,-13511.117578125,39.64188003540039,13514.21455078125,0.078125
47,-13353.53328125,44.63766345977783,13357.020634765626,0.02376355,0.004969185,0.033982273,0.011580339,0.026301129,0.10277425,1.0,0.0,0.0025375849,-13506.82119140625,39.95759544372559,13509.9427734375,0.078125
48,-13354.28173828125,44.23544067382812,13357.7376171875,0.006123616,0.004157599,0.01643527,0.0010881617,0.009886296,0.056833513,1.0,0.0,0.0037626831,-13505.931640625,39.3146354675293,13509.003125,0.078125
49,-13357.52203125,43.89601657867431,13360.951357421874,0.018967094,0.004304557,0.027890563,0.007891914,0.021521058,0.10120048,1.0,0.0,0.002553957,-13518.21474609375,38.41239242553711,13521.2158203125,0.078125
50,-13356.98470703125,43.6199547958374,13360.3925,0.0145685915,0.0071952958,0.038611826,0.0019423235,0.017013006,0.08749437,1.0,0.0,0.0024444154,-13517.653515625,38.11754684448242,13520.63134765625,0.078125
51,-13355.7142578125,43.440603981018064,13359.1080078125,0.027887413,0.00488361,0.03797833,0.015565513,0.031301282,0.108836725,1.0,0.0,0.0034138614,-13506.88212890625,39.147566604614255,13509.94033203125,0.078125
52,-13355.130703125,43.40848384857178,13358.52197265625,0.024706738,0.0042194217,0.03243807,0.012907829,0.028181093,0.10061762,1.0,0.0,0.0034743566,-13510.69775390625,38.343074035644534,13513.69326171875,0.078125
53,-13355.060732421874,43.137929077148435,13358.430869140626,0.0056207725,0.0034948373,0.013721829,0.000458183,0.009457345,0.054752383,1.0,0.0,0.0038365738,-13508.396875,38.65883903503418,13511.41708984375,0.078125
54,-13352.131962890626,43.01667682647705,13355.492607421875,0.007523008,0.0046541556,0.0265704,0.0012386644,0.011316915,0.065369725,1.0,0.0,0.0037939053,-13515.52099609375,38.3419750213623,13518.5166015625,0.078125
