train/epoch,train/Log Prob,train/KL,train/loss,debug/MSE improvement over random Mean,debug/MSE improvement over random Std,debug/MSE improvement over random Max,debug/MSE improvement over random Min,debug/MSE of random decoding Mean,debug/MSE of random decoding Std,debug/MSE of random decoding Max,debug/MSE of random decoding Min,debug/MSE of reconstruction,test/Log Prob,test/KL,test/loss,beta
0,-13969.084912109374,164.0471032524109,13981.901083984376,0.03755517,0.0036226544,0.04103741,0.026841838,0.07210025,0.09902187,0.3500742,5.684342e-14,0.03454508,-13183.5404296875,630.7778503417969,13232.82001953125,0.078125
1,-12742.4952734375,319.16180282592774,12767.4298046875,0.040316775,0.005561397,0.045597374,0.024588702,0.060658045,0.10357666,0.3944869,8.881784e-16,0.020341257,-12840.60859375,211.56256713867188,12857.1369140625,0.078125
2,-12472.1916796875,170.92920654296876,12485.545537109376,0.040648192,0.006285585,0.054442637,0.023139061,0.0623508,0.13452332,0.85812885,8.881784e-16,0.021702593,-12470.7087890625,116.3928009033203,12479.801953125,0.078125
3,-12165.69931640625,106.51632766723633,12174.020849609375,0.004483267,0.0026144958,0.012924321,-3.9182603e-05,0.023339247,0.07215353,0.9733519,8.881784e-16,0.018855978,-12206.4751953125,74.67288208007812,12212.30908203125,0.078125
4,-12034.98220703125,86.69465682983399,12041.755244140624,0.037222452,0.0077466066,0.04891596,0.015349831,0.05347513,0.14614864,0.95322806,8.881784e-16,0.016252689,-12053.125390625,53.16734008789062,12057.27900390625,0.078125
5,-11956.02234375,80.96212959289551,11962.3475,0.075834736,0.0069117015,0.08801639,0.059969537,0.09972425,0.23399904,0.9998362,0.0,0.023889521,-11954.68857421875,54.11627426147461,11958.91630859375,0.078125
6,-11779.900439453126,78.00310501098633,11785.994384765625,0.06628413,0.009266966,0.08360597,0.046394914,0.083873935,0.21143909,0.99993277,8.881784e-16,0.017589828,-11740.63671875,58.32881317138672,11745.19375,0.078125
7,-11521.324853515625,82.55679016113281,11527.774619140626,0.022891311,0.00860988,0.03696968,-0.00054380577,0.03347961,0.12463149,0.9999764,8.881784e-16,0.010588284,-11609.7541015625,62.412937545776366,11614.630078125,0.078125
8,-11439.944658203125,93.40500877380371,11447.24193359375,0.015418767,0.009014769,0.04091621,-0.0015688166,0.028958015,0.10927516,0.999861,8.881784e-16,0.01353925,-11553.33330078125,62.036664962768555,11558.1798828125,0.078125
9,-11396.029501953126,96.9579653930664,11403.604345703125,0.075179726,0.012744249,0.10014473,0.05132347,0.0879093,0.22505388,0.9999993,8.881784e-16,0.012729603,-11465.05703125,56.84059715270996,11469.49775390625,0.078125
